stem_count,model_name,model_hash,elapsed_seconds,quality_score_10pt,rank_within_stem_group,stem_group_size,
6,Hybrid Transformer Demucs (HTDemucs),5c90dfd2-34c22ccb__7ae9d6de,13.211,9,1,5,
6,Hybrid Transformer Demucs (HTDemucs),5c90dfd2-34c22ccb__d105a4c8,13.363,9,2,5,
6,Hybrid Transformer Demucs (HTDemucs),5c90dfd2-34c22ccb__2aad324b,13.391,9,3,5,
6,Hybrid Transformer Demucs (HTDemucs),5c90dfd2-34c22ccb__29d4388e,15.593,9,4,5,
6,Hybrid Transformer Demucs (HTDemucs),5c90dfd2-34c22ccb,18.186,9,5,5,
4,Hybrid Transformer Demucs (HTDemucs),04573f0d-f3cf25b2__29d4388e,13.721,8,1,147,gg
4,Hybrid Transformer Demucs (HTDemucs),04573f0d-f3cf25b2__2aad324b,13.732,8,2,147,gg
4,Hybrid Transformer Demucs (HTDemucs),d12395a8-e57c48e6__d105a4c8,13.841,8,3,147,g
4,Hybrid Transformer Demucs (HTDemucs),04573f0d-f3cf25b2__7ae9d6de,14.624,8,4,147,g
4,Hybrid Transformer Demucs (HTDemucs),htdemucs__8cd93e44,14.701,8,5,147,
4,Hybrid Transformer Demucs (HTDemucs),04573f0d-f3cf25b2,15.06,8,6,147,
4,Hybrid Transformer Demucs (HTDemucs),f7e0c4bc-ba3fe64a__d105a4c8,15.636,8,7,147,g
4,Hybrid Transformer Demucs (HTDemucs),f7e0c4bc-ba3fe64a__2aad324b,15.673,8,8,147,
4,Hybrid Transformer Demucs (HTDemucs),f7e0c4bc-ba3fe64a__29d4388e,15.771,8,9,147,
4,Hybrid Transformer Demucs (HTDemucs),f7e0c4bc-ba3fe64a,15.951,8,10,147,
4,Hybrid Transformer Demucs (HTDemucs),f7e0c4bc-ba3fe64a__7ae9d6de,15.958,8,11,147,
4,Hybrid Transformer Demucs (HTDemucs),04573f0d-f3cf25b2__d105a4c8,19.072,8,12,147,
4,Hybrid Transformer Demucs (HTDemucs),955717e8-8726e21a__d105a4c8,19.977,8,13,147,
4,Hybrid Transformer Demucs (HTDemucs),955717e8-8726e21a__2aad324b,20.039,8,14,147,
4,Hybrid Transformer Demucs (HTDemucs),d12395a8-e57c48e6,20.058,8,15,147,
4,Hybrid Transformer Demucs (HTDemucs),92cfc3b6-ef3bcb9c__7ae9d6de,20.299,8,16,147,
4,Hybrid Transformer Demucs (HTDemucs),955717e8-8726e21a__29d4388e,20.991,8,17,147,
4,Hybrid Transformer Demucs (HTDemucs),92cfc3b6-ef3bcb9c__2aad324b,21.097,8,18,147,
4,Hybrid Transformer Demucs (HTDemucs),955717e8-8726e21a,21.223,8,19,147,
4,Hybrid Transformer Demucs (HTDemucs),92cfc3b6-ef3bcb9c__29d4388e,21.34,8,20,147,
4,Hybrid Transformer Demucs (HTDemucs),92cfc3b6-ef3bcb9c__d105a4c8,21.433,8,21,147,
4,Hybrid Transformer Demucs (HTDemucs),d12395a8-e57c48e6__2aad324b,21.55,8,22,147,
4,Hybrid Transformer Demucs (HTDemucs),d12395a8-e57c48e6__29d4388e,21.867,8,23,147,
4,Hybrid Transformer Demucs (HTDemucs),955717e8-8726e21a__7ae9d6de,22.059,8,24,147,
4,Hybrid Transformer Demucs (HTDemucs),92cfc3b6-ef3bcb9c,22.098,8,25,147,
4,Hybrid Transformer Demucs (HTDemucs),htdemucs,22.582,8,26,147,
4,Hybrid Transformer Demucs (HTDemucs),d12395a8-e57c48e6__7ae9d6de,23.776,8,27,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1__7ae9d6de,5.231,7,28,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1__2aad324b,6.08,7,29,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd__f00f2b3c,6.742,7,30,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd__2aad324b,6.765,7,31,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85__d105a4c8,6.939,7,32,147,
4,Hybrid Demucs (HDemucs),fa0cb7f9-100d8bf4__7ae9d6de,6.945,7,33,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1__29d4388e,7.016,7,34,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1,7.032,7,35,147,
4,Hybrid Demucs (HDemucs),fa0cb7f9-100d8bf4__2aad324b,7.037,7,36,147,
4,Hybrid Demucs (HDemucs),c511e2ab-fe698775,7.041,7,37,147,
4,Hybrid Demucs (HDemucs),modelo_final__d105a4c8,7.058,7,38,147,
4,Hybrid Demucs (HDemucs),modelo_final__7ae9d6de,7.063,7,39,147,
4,Hybrid Demucs (HDemucs),75fc33f5-1941ce65__2aad324b,7.084,7,40,147,
4,Hybrid Demucs (HDemucs),modelo_final,7.128,7,41,147,
4,Hybrid Demucs (HDemucs),modelo_final__29d4388e,7.136,7,42,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1__f00f2b3c,7.262,7,43,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452__d105a4c8,7.334,7,44,147,
4,Hybrid Demucs (HDemucs),75fc33f5-1941ce65__29d4388e,7.36,7,45,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd__d105a4c8,7.417,7,46,147,
4,Hybrid Demucs (HDemucs),fa0cb7f9-100d8bf4__d105a4c8,7.586,7,47,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450,7.619,7,48,147,
4,Hybrid Demucs (HDemucs),c511e2ab-fe698775__29d4388e,7.753,7,49,147,
4,Hybrid Demucs (HDemucs),fa0cb7f9-100d8bf4__29d4388e,7.818,7,50,147,
4,Hybrid Demucs (HDemucs),fa0cb7f9-100d8bf4,7.928,7,51,147,
4,Hybrid Demucs (HDemucs),c511e2ab-fe698775__d105a4c8,7.978,7,52,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85__f00f2b3c,8.159,7,53,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee__7ae9d6de,8.19,7,54,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452__7ae9d6de,8.253,7,55,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452,8.357,7,56,147,
4,Hybrid Demucs (HDemucs),7d865c68-3d5dd56b__d105a4c8,8.419,7,57,147,
4,Hybrid Demucs (HDemucs),7d865c68-3d5dd56b__7ae9d6de,8.431,7,58,147,
4,Hybrid Demucs (HDemucs),902315c2-b39ce9c9__29d4388e,8.47,7,59,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e__7ae9d6de,8.485,7,60,147,
4,Hybrid Demucs (HDemucs),7d865c68-3d5dd56b__2aad324b,8.486,7,61,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450__7ae9d6de,8.52,7,62,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e__f00f2b3c,8.549,7,63,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85__29d4388e,8.557,7,64,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd__7ae9d6de,8.558,7,65,147,
4,Hybrid Demucs (HDemucs),c511e2ab-fe698775__2aad324b,8.574,7,66,147,
4,Hybrid Demucs (HDemucs),902315c2-b39ce9c9__7ae9d6de,8.575,7,67,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e__d105a4c8,8.583,7,68,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e,8.619,7,69,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e__29d4388e,8.621,7,70,147,
4,Hybrid Demucs (HDemucs),7d865c68-3d5dd56b,8.709,7,71,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85__7ae9d6de,8.74,7,72,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450__f00f2b3c,8.89,7,73,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e__d105a4c8,9.007,7,74,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e__2aad324b,9.013,7,75,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450__d105a4c8,9.058,7,76,147,
4,Hybrid Demucs (HDemucs),c511e2ab-fe698775__7ae9d6de,9.09,7,77,147,
4,Hybrid Demucs (HDemucs),902315c2-b39ce9c9,9.141,7,78,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85,9.209,7,79,147,
4,Hybrid Demucs (HDemucs),42e558d4-196e0e1b__29d4388e,9.226,7,80,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee__2aad324b,9.371,7,81,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e__7ae9d6de,9.383,7,82,147,
4,Hybrid Demucs (HDemucs),7fd6ef75-a905dd85__2aad324b,9.411,7,83,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee,9.472,7,84,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e,9.497,7,85,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452__29d4388e,9.597,7,86,147,
4,Hybrid Demucs (HDemucs),902315c2-b39ce9c9__d105a4c8,9.679,7,87,147,
4,Hybrid Demucs (HDemucs),902315c2-b39ce9c9__2aad324b,9.714,7,88,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee__29d4388e,9.753,7,89,147,
4,Hybrid Demucs (HDemucs),7d865c68-3d5dd56b__29d4388e,9.798,7,90,147,
4,Hybrid Demucs (HDemucs),modelo_final__2aad324b,9.964,7,91,147,
4,Hybrid Demucs (HDemucs),5d2d6c55-db83574e__2aad324b,10.082,7,92,147,
4,Hybrid Demucs (HDemucs),305bc58f-18378783__7ae9d6de,10.123,7,93,147,
4,Hybrid Demucs (HDemucs),42e558d4-196e0e1b__7ae9d6de,10.188,7,94,147,
4,Hybrid Demucs (HDemucs),305bc58f-18378783__d105a4c8,10.401,7,95,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450__29d4388e,10.714,7,96,147,
4,Hybrid Demucs (HDemucs),75fc33f5-1941ce65__7ae9d6de,10.777,7,97,147,
4,Hybrid Demucs (HDemucs),305bc58f-18378783__2aad324b,10.965,7,98,147,
4,Hybrid Demucs (HDemucs),42e558d4-196e0e1b,11.149,7,99,147,
4,Hybrid Demucs (HDemucs),42e558d4-196e0e1b__2aad324b,11.326,7,100,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd,11.417,7,101,147,
4,Hybrid Demucs (HDemucs),305bc58f-18378783__29d4388e,12.022,7,102,147,
4,Hybrid Demucs (HDemucs),305bc58f-18378783,12.332,7,103,147,
4,Hybrid Demucs (HDemucs),75fc33f5-1941ce65,12.744,7,104,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452__f00f2b3c,13.294,7,105,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e__f00f2b3c,13.447,7,106,147,
4,Hybrid Demucs (HDemucs),464b36d7-e5a9386e__29d4388e,16.311,7,107,147,
4,Hybrid Demucs (HDemucs),e51eebcc-c1b80bdd__29d4388e,16.645,7,108,147,
4,Hybrid Demucs (HDemucs),83fc094f-4a16d450__2aad324b,19.91,7,109,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee__f00f2b3c,23.898,7,110,147,
4,Hybrid Demucs (HDemucs),14fc6a69-a89dd0ee__d105a4c8,24.953,7,111,147,
4,Hybrid Demucs (HDemucs),cfa93e08-61801ae1__d105a4c8,25.887,7,112,147,
4,Hybrid Demucs (HDemucs),75fc33f5-1941ce65__d105a4c8,28.909,7,113,147,
4,Hybrid Demucs (HDemucs),42e558d4-196e0e1b__d105a4c8,31.035,7,114,147,
4,Hybrid Demucs (HDemucs),a1d90b5c-ae9d2452__2aad324b,32.645,7,115,147,
4,Demucs (convolutional U-Net),7ecf8ec1-70f50cc9__d105a4c8,6.728,6,116,147,
4,Demucs (convolutional U-Net),6b9c2ca1-3fd82607__29d4388e,6.978,6,117,147,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e__7ae9d6de,7.002,6,118,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e,7.222,6,119,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e__d105a4c8,7.234,6,120,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e__7ae9d6de,7.507,6,121,147,
4,Demucs (convolutional U-Net),6b9c2ca1-3fd82607__2aad324b,7.765,6,122,147,
4,Demucs (convolutional U-Net),7ecf8ec1-70f50cc9__2aad324b,7.792,6,123,147,
4,Demucs (convolutional U-Net),7ecf8ec1-70f50cc9__7ae9d6de,8.019,6,124,147,
4,Demucs (convolutional U-Net),9a6b4851-03af0aa6__d105a4c8,8.234,6,125,147,
4,Demucs (convolutional U-Net),1ef250f1-592467ce__2aad324b,8.534,6,126,147,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e__29d4388e,8.541,6,127,147,
4,Demucs (convolutional U-Net),6b9c2ca1-3fd82607__7ae9d6de,8.611,6,128,147,
4,Demucs (convolutional U-Net),6b9c2ca1-3fd82607,8.761,6,129,147,
4,Demucs (convolutional U-Net),7ecf8ec1-70f50cc9__29d4388e,9.037,6,130,147,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e__d105a4c8,9.167,6,131,147,
4,Demucs (convolutional U-Net),1ef250f1-592467ce__29d4388e,9.271,6,132,147,
4,Demucs (convolutional U-Net),1ef250f1-592467ce__7ae9d6de,9.29,6,133,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e__2aad324b,9.419,6,134,147,
4,Demucs (convolutional U-Net),1ef250f1-592467ce__d105a4c8,9.486,6,135,147,
4,Demucs (convolutional U-Net),9a6b4851-03af0aa6__29d4388e,10.171,6,136,147,
4,Demucs (convolutional U-Net),1ef250f1-592467ce,10.995,6,137,147,
4,Demucs (convolutional U-Net),7ecf8ec1-70f50cc9,11.231,6,138,147,
4,Demucs (convolutional U-Net),9a6b4851-03af0aa6,11.469,6,139,147,
4,Demucs (convolutional U-Net),6b9c2ca1-3fd82607__d105a4c8,11.638,6,140,147,
4,Demucs (convolutional U-Net),9a6b4851-03af0aa6__2aad324b,12.234,6,141,147,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e,15.921,6,142,147,
4,Demucs (convolutional U-Net),9a6b4851-03af0aa6__7ae9d6de,17.903,6,143,147,
4,Demucs (convolutional U-Net),0d19c1c6-0f06f20e__2aad324b,42.282,6,144,147,
4,Demucs (convolutional U-Net),b72baf4e-8778635e__29d4388e,44.35,6,145,147,
4,EMBER-DEMUCS-SEPARATOR-ALT,EMBER-DEMUCS-SEPARATOR-ALT,25.155,4,146,147,
4,htdemucs_embedded,htdemucs_embedded,28.092,4,147,147,
2,MDX23C-8KFFT-InstVoc_HQ_2,MDX23C-8KFFT-InstVoc_HQ_2,700.68,10,1,9,
2,MDX23C-8KFFT-InstVoc_HQ,MDX23C-8KFFT-InstVoc_HQ,719.314,10,2,9,
2,Hybrid Demucs (HDemucs),ebf34a2d,6.186,7,3,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__f00f2b3c,6.619,7,4,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__d105a4c8,6.737,7,5,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__29d4388e,6.778,7,6,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__2aad324b,7.014,7,7,9,
2,Hybrid Demucs (HDemucs),ebf34a2db__7ae9d6de,7.693,7,8,9,
2,Hybrid Demucs (HDemucs),ebf34a2db,7.807,7,9,9,
